,Mar 2014,Mar 2015
Share Capital +,13,13
Reserves,327,365
Borrowings +,0,0
Other Liabilities +,134,138
Total Liabilities,475,516
Fixed Assets +,161,258
CWIP,1,0
Investments,170,152
Other Assets +,143,105
Total Assets,475,516
