,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,133,133,133,11,11
Reserves,139,148,225,435,488
Borrowings +,25,22,20,19,24
Other Liabilities +,173,184,179,53,61
Total Liabilities,340,358,428,518,583
Fixed Assets +,44,41,33,43,47
CWIP,0,0,0,0,0
Investments,201,199,269,296,339
Other Assets +,95,119,126,178,196
Total Assets,340,358,428,518,583
