,Jun 2008,Mar 2010,Mar 2011,Mar 2012,Jun 2013
Share Capital +,19,19,19,20,20
Reserves,150,75,80,89,-50
Borrowings +,226,274,284,290,317
Other Liabilities +,119,101,96,103,168
Total Liabilities,514,469,480,503,455
Fixed Assets +,155,154,149,144,133
CWIP,12,6,7,8,7
Investments,20,0,0,0,0
Other Assets +,328,309,324,352,315
Total Assets,514,469,480,503,455
