,Mar 2015,Mar 2016
Sales +,28,198
Expenses +,29,202
Operating Profit,-1,-3
OPM %,-2%,-2%
Other Income +,0,44
Interest,1,6
Depreciation,1,7
Profit before tax,-2,28
Tax %,12%,39%
Net Profit,-2,17
EPS in Rs,-1.99,15.66
