,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,63,63,83,80,76,75,66,66,66,66,66,66,66
Reserves,452,422,404,361,347,635,836,935,"1,158","1,295","1,494",819,869
Borrowings +,895,992,"1,439","1,335","1,609","1,657","1,915","1,449","1,824","1,752","1,158",886,409
Other Liabilities +,532,575,760,981,"1,013",843,514,685,877,755,753,394,211
Total Liabilities,"1,933","2,044","2,657","2,735","3,028","3,196","3,331","3,136","3,927","3,869","3,471","2,165","1,555"
Fixed Assets +,"1,009",985,"1,073","1,086","1,254","1,496","1,494","1,597","1,597","1,638","1,614",999,"1,016"
CWIP,18,35,19,207,18,28,27,24,34,7,21,29,105
Investments,9,9,1,2,1,1,3,2,12,2,3,5,5
Other Assets +,897,"1,015","1,564","1,440","1,755","1,671","1,807","1,512","2,284","2,222","1,833","1,132",430
Total Assets,"1,933","2,044","2,657","2,735","3,028","3,196","3,331","3,136","3,927","3,869","3,471","2,165","1,555"
