,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,-0,12,12,12,12,12
Reserves,390,394,441,429,445,498
Borrowings +,80,56,34,34,24,23
Other Liabilities +,46,70,110,106,128,121
Total Liabilities,516,532,596,580,609,654
Fixed Assets +,4,3,2,2,1,161
CWIP,107,114,146,143,148,-0
Investments,0,0,0,0,0,0
Other Assets +,405,415,448,435,460,493
Total Assets,516,532,596,580,609,654
