,Mar 2015
Sales +,"1,148"
Expenses +,"1,165"
Operating Profit,-17
OPM %,-1%
Other Income +,10
Interest,113
Depreciation,74
Profit before tax,-193
Tax %,-0%
Net Profit,-193
EPS in Rs,-15.84
