,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21,21,21,22,22,22,22,22,22,22,22
Reserves,737,797,601,500,416,321,400,421,495,516,606,880,967
Borrowings +,371,456,551,581,590,578,544,377,337,294,203,114,152
Other Liabilities +,159,143,123,116,113,120,170,131,180,215,222,284,242
Total Liabilities,"1,289","1,417","1,297","1,218","1,141","1,042","1,136",952,"1,034","1,047","1,054","1,301","1,383"
Fixed Assets +,560,678,636,632,560,512,423,340,329,339,312,334,346
CWIP,131,35,35,28,25,28,14,8,18,26,46,38,72
Investments,35,0,0,0,0,0,3,4,3,3,3,3,3
Other Assets +,563,704,626,558,555,501,695,599,683,679,692,926,963
Total Assets,"1,289","1,417","1,297","1,218","1,141","1,042","1,136",952,"1,034","1,047","1,054","1,301","1,383"
