,Mar 2008,Mar 2009,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,1,72,"1,141","1,215","1,306","1,476","1,654","1,788","1,920","1,952","1,825","1,735","1,732"
Borrowings +,486,304,42,20,11,14,199,0,286,310,642,"1,069",991
Other Liabilities +,605,841,514,527,645,801,738,722,617,823,757,844,"1,220"
Total Liabilities,"1,105","1,230","1,711","1,775","1,975","2,305","2,604","2,523","2,836","3,098","3,238","3,661","3,956"
Fixed Assets +,435,445,622,643,638,786,911,948,"1,216","1,400","1,224","2,033","2,192"
CWIP,43,79,189,206,240,205,220,369,372,445,725,302,143
Investments,2,0,0,0,0,14,9,10,23,78,100,111,110
Other Assets +,625,705,900,925,"1,097","1,300","1,463","1,196","1,225","1,175","1,189","1,215","1,511"
Total Assets,"1,105","1,230","1,711","1,775","1,975","2,305","2,604","2,523","2,836","3,098","3,238","3,661","3,956"
