,Mar 2008,Mar 2009,Mar 2010
Share Capital +,11,11,11
Reserves,84,89,102
Borrowings +,0,4,3
Other Liabilities +,37,31,21
Total Liabilities,121,136,138
Fixed Assets +,22,22,20
CWIP,0,0,0
Investments,5,0,0
Other Assets +,94,114,118
Total Assets,121,136,138
