,Mar 2021,Mar 2022,TTM
Sales +,649,716,836
Expenses +,466,502,624
Operating Profit,183,214,212
OPM %,28%,30%,25%
Other Income +,6,13,11
Interest,3,7,9
Depreciation,6,9,10
Profit before tax,180,212,204
Tax %,25%,25%,
Net Profit,135,158,152
EPS in Rs,12.03,13.72,13.21
