,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,17,17,17,17,17,17,17,17,17,18,18
Reserves,-319,-364,-302,-117,-162,2,-20,-65,-378,325,413,503,558
Borrowings +,427,448,412,285,188,204,144,185,209,441,664,639,655
Other Liabilities +,725,751,753,788,"1,092","1,207","1,163","1,148","1,203","1,037","1,138","1,264","1,320"
Total Liabilities,848,851,880,973,"1,136","1,430","1,305","1,286","1,051","1,820","2,233","2,424","2,552"
Fixed Assets +,304,303,270,282,333,345,336,308,254,544,527,539,578
CWIP,24,32,30,36,29,110,5,21,9,54,204,254,256
Investments,30,6,5,61,63,146,243,267,180,274,290,268,277
Other Assets +,491,509,574,593,711,828,721,689,608,947,"1,212","1,363","1,441"
Total Assets,848,851,880,973,"1,136","1,430","1,305","1,286","1,051","1,820","2,233","2,424","2,552"
