,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,30,30,31,31,31,31,32
Reserves,163,194,245,275,308,361,388
Borrowings +,15,65,47,51,58,94,93
Other Liabilities +,52,91,86,80,89,138,120
Total Liabilities,260,380,408,437,486,624,633
Fixed Assets +,123,166,172,164,175,195,272
CWIP,0,3,10,52,81,110,41
Investments,0,0,0,59,65,77,110
Other Assets +,137,210,226,163,165,243,210
Total Assets,260,380,408,437,486,624,633
