,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,799,772,626,591,693
Expenses +,740,737,619,540,619
Operating Profit,59,35,7,51,74
OPM %,7%,5%,1%,9%,11%
Other Income +,6,6,16,14,10
Interest,14,33,27,24,26
Depreciation,18,42,39,34,34
Profit before tax,33,-34,-43,8,24
Tax %,36%,8%,24%,17%,
Net Profit,21,-31,-33,6,19
EPS in Rs,11.78,-17.40,-18.33,3.58,10.68
