,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,5,5,5,5,5,5,5,5,5,5,5
Reserves,22,23,24,24,18,19,17,18,22,8,-10
Borrowings +,24,27,35,44,46,49,62,71,75,73,84
Other Liabilities +,33,35,37,41,49,43,33,38,49,43,55
Total Liabilities,83,90,102,114,118,115,117,133,151,128,134
Fixed Assets +,11,13,14,17,16,27,26,61,58,56,54
CWIP,1,3,5,9,12,-0,0,2,-0,-0,-0
Investments,0,0,0,0,0,0,0,0,2,0,0
Other Assets +,71,74,82,87,90,89,91,70,91,72,79
Total Assets,83,90,102,114,118,115,117,133,151,128,134
