,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,19,19,18,19,19,19,19,19,19
Reserves,243,290,306,355,380,442,494,526,641,681,825,905,917
Borrowings +,283,273,242,342,272,252,344,348,567,524,528,706,724
Other Liabilities +,178,71,170,223,258,314,247,333,427,348,274,372,463
Total Liabilities,723,653,736,939,929,"1,027","1,103","1,225","1,654","1,573","1,646","2,002","2,122"
Fixed Assets +,66,86,89,91,78,71,72,49,82,98,80,218,258
CWIP,6,4,1,0,0,7,0,3,0,0,0,9,0
Investments,10,2,0,0,24,36,87,65,23,71,11,74,111
Other Assets +,641,562,647,848,827,913,944,"1,108","1,548","1,404","1,555","1,700","1,753"
Total Assets,723,653,736,939,929,"1,027","1,103","1,225","1,654","1,573","1,646","2,002","2,122"
