,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2,3,3,10,10,10,10
Reserves,9,18,28,23,21,25,32
Borrowings +,0,2,3,4,5,3,1
Other Liabilities +,14,16,17,23,26,42,59
Total Liabilities,26,40,51,61,62,80,102
Fixed Assets +,2,3,13,13,15,15,16
CWIP,0,4,1,0,1,1,0
Investments,0,0,0,0,0,0,0
Other Assets +,24,33,37,47,46,64,86
Total Assets,26,40,51,61,62,80,102
