,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3,3,3,3
Reserves,94,101,111,124,144,161,173,178
Borrowings +,27,21,18,13,26,12,17,9
Other Liabilities +,23,19,19,22,18,26,21,22
Total Liabilities,148,145,152,162,191,203,214,213
Fixed Assets +,57,61,60,60,58,62,70,68
CWIP,2,1,1,1,3,3,3,4
Investments,-0,-0,-0,0,2,2,2,2
Other Assets +,89,83,91,102,128,135,140,139
Total Assets,148,145,152,162,191,203,214,213
