,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,39,39,39,39,39,39,39,39,39,39,39,39,39
Reserves,"1,483","1,617","1,673","1,720","1,707","1,749","1,818","2,693","5,312","4,515","4,503","4,908","4,819"
Borrowings +,341,598,743,463,367,302,259,272,360,416,225,436,421
Other Liabilities +,426,462,497,574,482,417,444,727,"1,191",608,760,915,"1,238"
Total Liabilities,"2,289","2,716","2,952","2,796","2,595","2,507","2,560","3,731","6,902","5,578","5,527","6,297","6,517"
Fixed Assets +,503,603,713,696,640,591,667,702,664,637,640,691,644
CWIP,95,127,3,3,10,65,32,8,17,35,80,142,174
Investments,225,250,265,385,369,475,631,"1,208","2,590","2,067","2,804","2,494","2,444"
Other Assets +,"1,465","1,736","1,972","1,712","1,576","1,375","1,230","1,813","3,631","2,839","2,003","2,971","3,255"
Total Assets,"2,289","2,716","2,952","2,796","2,595","2,507","2,560","3,731","6,902","5,578","5,527","6,297","6,517"
