,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,86,86,86,86,86,86,86,86
Reserves,196,225,306,369,395,594,944,938
Borrowings +,2,26,23,34,26,14,19,11
Other Liabilities +,215,195,141,165,153,198,241,234
Total Liabilities,499,532,556,654,660,892,"1,290","1,269"
Fixed Assets +,105,206,273,283,302,292,343,330
CWIP,16,28,12,6,26,28,14,21
Investments,69,16,57,0,41,0,0,0
Other Assets +,310,282,214,364,291,572,933,917
Total Assets,499,532,556,654,660,892,"1,290","1,269"
