,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,444","8,579","9,484","9,674","10,110","11,286","12,387"
Expenses +,"5,550","6,543","7,542","7,591","7,340","8,855","10,328"
Operating Profit,"1,894","2,036","1,942","2,083","2,770","2,431","2,059"
OPM %,25%,24%,20%,22%,27%,22%,17%
Other Income +,296,274,235,217,145,161,171
Interest,856,708,542,415,303,202,192
Depreciation,"1,226","1,213","1,296","1,528","1,250","1,236","1,280"
Profit before tax,108,389,339,357,"1,362","1,154",758
Tax %,69%,25%,-3%,33%,13%,-1%,
Net Profit,44,291,349,238,"1,183","1,173",945
EPS in Rs,"8,800.00","58,400.00",15.96,11.61,62.58,61.06,49.21
