,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,1,1,1,1,1,1,1
Reserves,24,24,31,46,66,78,87,101,108
Borrowings +,4,3,7,1,0,26,24,23,66
Other Liabilities +,23,34,25,29,34,42,40,41,48
Total Liabilities,52,63,64,77,102,147,152,166,222
Fixed Assets +,5,6,4,4,5,30,28,27,27
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,0,13,22,33,41,49,57,60
Other Assets +,47,57,47,52,64,76,75,83,135
Total Assets,52,63,64,77,102,147,152,166,222
