,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,22,22,22,49,49,61
Reserves,26,27,28,34,36,35
Borrowings +,22,43,113,131,166,201
Other Liabilities +,9,6,47,62,91,217
Total Liabilities,79,98,210,254,320,481
Fixed Assets +,8,8,66,64,88,83
CWIP,4,16,13,28,2,2
Investments,1,1,1,1,1,1
Other Assets +,66,73,129,161,229,395
Total Assets,79,98,210,254,320,481
