,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,54,54,54,54,54,54,99,198,198,199
Reserves,-210,-239,-265,-293,-305,-272,132,29,18,35
Borrowings +,570,568,508,510,508,471,23,19,16,11
Other Liabilities +,61,58,59,53,50,50,71,195,44,80
Total Liabilities,454,420,335,304,286,282,319,296,269,318
Fixed Assets +,311,284,250,228,213,199,137,139,134,117
CWIP,-0,0,-0,-0,-0,-0,0,1,1,8
Investments,4,4,4,-0,-0,-0,13,15,3,13
Other Assets +,139,132,81,76,73,83,169,142,131,180
Total Assets,454,420,335,304,286,282,319,296,269,318
