,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,40,40,40,40,40,51,51,51,51,51,51,51,51
Reserves,375,454,548,670,831,"1,307","1,410","1,637","1,973","2,503","3,002","3,577","3,935"
Borrowings +,104,372,588,"1,025","1,692","1,649","1,906","2,021","2,775","3,515","4,192","4,793","5,538"
Other Liabilities +,76,176,246,286,534,"1,829","1,851","2,192","2,455","2,421","2,330","2,224","1,825"
Total Liabilities,595,"1,042","1,422","2,021","3,097","4,835","5,219","5,902","7,254","8,490","9,575","10,645","11,349"
Fixed Assets +,101,111,444,649,683,"2,447","2,405","2,279","2,234","1,978","1,797","1,482","1,345"
CWIP,17,193,296,593,"1,482",2,8,11,6,0,3,0,0
Investments,51,51,92,105,94,66,103,169,263,444,579,424,480
Other Assets +,425,688,590,674,838,"2,320","2,703","3,443","4,752","6,068","7,196","8,740","9,523"
Total Assets,595,"1,042","1,422","2,021","3,097","4,835","5,219","5,902","7,254","8,490","9,575","10,645","11,349"
