,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,22,22,22,22,22,22,22,22,22,22,22
Reserves,400,440,516,510,514,682,687,686,746,832,897,"1,028","1,110"
Borrowings +,648,665,697,633,552,629,583,590,548,483,335,151,57
Other Liabilities +,630,796,892,892,877,870,794,857,849,792,733,513,434
Total Liabilities,"1,697","1,920","2,123","2,058","1,964","2,203","2,087","2,156","2,165","2,129","1,988","1,715","1,622"
Fixed Assets +,479,531,625,595,523,898,861,834,799,799,758,739,728
CWIP,11,42,10,7,4,8,2,1,5,0,0,1,8
Investments,4,14,13,14,15,49,49,51,54,53,53,54,55
Other Assets +,"1,203","1,333","1,475","1,441","1,422","1,248","1,175","1,270","1,307","1,277","1,176",921,832
Total Assets,"1,697","1,920","2,123","2,058","1,964","2,203","2,087","2,156","2,165","2,129","1,988","1,715","1,622"
