,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,0,660,"1,173","1,430","1,715","1,771"
Expenses +,0,541,918,995,"1,317","1,408"
Operating Profit,0,118,255,435,398,363
OPM %,,18%,22%,30%,23%,21%
Other Income +,0,2,1,1,1,1
Interest,0,29,87,87,83,82
Depreciation,0,50,162,224,171,150
Profit before tax,0,41,8,125,144,133
Tax %,,9%,36%,4%,4%,
Net Profit,0,38,5,120,138,129
EPS in Rs,,,0.28,3.76,4.14,3.81
