,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,37,62,62,62,62,62,62,62,62
Reserves,121,317,367,222,88,-292,-778,-886,-943
Borrowings +,421,474,555,780,842,957,971,978,983
Other Liabilities +,111,214,332,175,230,216,313,329,307
Total Liabilities,690,"1,067","1,315","1,239","1,222",943,569,484,409
Fixed Assets +,130,163,188,334,331,395,371,349,326
CWIP,43,115,192,73,82,7,7,7,7
Investments,0,3,0,0,0,0,0,0,0
Other Assets +,517,786,935,832,809,541,191,128,76
Total Assets,690,"1,067","1,315","1,239","1,222",943,569,484,409
