,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,6.13,6.13,6.13,6.13
Reserves,61.33,37.75,39.30,39.49
Borrowings +,79.63,67.58,74.63,63.69
Other Liabilities +,182.29,61.81,52.53,66.77
Total Liabilities,329.38,173.27,172.59,176.08
Fixed Assets +,55.97,52.54,46.14,43.42
CWIP,0.12,1.14,2.07,2.09
Investments,0.16,0.11,0.16,0.00
Other Assets +,273.13,119.48,124.22,130.57
Total Assets,329.38,173.27,172.59,176.08
