,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,13,14,14,14,14,14,14,14
Reserves,85,117,155,193,229,434,510,641,761,840,976,"1,070","1,146"
Borrowings +,66,83,112,156,194,298,378,345,362,391,346,337,613
Other Liabilities +,58,70,73,95,94,216,236,306,321,350,391,336,522
Total Liabilities,220,282,352,456,529,962,"1,138","1,306","1,458","1,594","1,727","1,757","2,294"
Fixed Assets +,87,101,119,152,168,330,556,544,553,613,598,588,748
CWIP,4,13,18,1,17,18,2,3,27,15,5,10,41
Investments,8,18,45,75,112,149,23,130,172,276,320,262,285
Other Assets +,121,150,170,228,232,465,557,629,706,689,804,897,"1,220"
Total Assets,220,282,352,456,529,962,"1,138","1,306","1,458","1,594","1,727","1,757","2,294"
