,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,8,8,8,8,8,8,8,8,8,8
Reserves,97,119,146,216,250,420,516,572,605,598,632,718,741
Borrowings +,179,167,162,171,191,243,497,541,574,529,460,547,552
Other Liabilities +,199,237,306,353,335,372,422,518,477,416,452,515,542
Total Liabilities,482,529,621,747,784,"1,044","1,443","1,639","1,664","1,552","1,554","1,788","1,843"
Fixed Assets +,174,191,200,241,264,381,527,648,713,778,759,752,"1,000"
CWIP,3,3,9,3,1,6,56,28,25,6,9,227,29
Investments,1,5,9,55,47,108,119,114,68,34,90,60,31
Other Assets +,304,330,403,449,473,549,741,849,859,734,696,749,783
Total Assets,482,529,621,747,784,"1,044","1,443","1,639","1,664","1,552","1,554","1,788","1,843"
