,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,11
Reserves,"1,055","1,422","1,740","1,899","2,172","2,363"
Borrowings +,10,14,42,23,25,22
Other Liabilities +,"1,234",672,578,718,798,898
Total Liabilities,"2,311","2,118","2,371","2,652","3,006","3,295"
Fixed Assets +,303,286,306,266,307,301
CWIP,6,12,7,24,23,44
Investments,0,0,0,0,0,0
Other Assets +,"2,001","1,820","2,058","2,362","2,676","2,951"
Total Assets,"2,311","2,118","2,371","2,652","3,006","3,295"
