,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,624","1,457","1,549","1,989","2,224"
Expenses +,"1,332","1,230","1,275","1,653","1,860"
Operating Profit,292,227,274,336,364
OPM %,18%,16%,18%,17%,16%
Other Income +,3,16,23,15,13
Interest,54,61,50,53,56
Depreciation,76,94,102,120,126
Profit before tax,165,89,146,178,195
Tax %,41%,10%,25%,26%,
Net Profit,98,80,110,132,143
EPS in Rs,20.50,17.11,23.01,25.01,26.81
