,Mar 2014,Mar 2019,Mar 2020,Mar 2021
Sales +,126,9,4,10
Expenses +,141,15,8,13
Operating Profit,-15,-7,-4,-3
OPM %,-12%,-78%,-115%,-29%
Other Income +,8,-3,-12,-10
Interest,9,2,2,3
Depreciation,2,3,2,2
Profit before tax,-19,-15,-22,-18
Tax %,-0%,-0%,-0%,-0%
Net Profit,-19,-15,-22,-18
EPS in Rs,-5.62,-4.37,-6.41,-5.49
