,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,983,"1,074",11,19,22,16,20,27
Expenses +,909,998,3,4,6,6,4,4
Operating Profit,74,77,8,14,16,11,16,23
OPM %,8%,7%,71%,76%,73%,65%,78%,85%
Other Income +,4,2,184,134,214,347,248,258
Interest,2,0,0,0,0,0,0,0
Depreciation,16,15,0,0,1,1,1,1
Profit before tax,59,63,192,148,230,357,264,280
Tax %,29%,32%,17%,14%,37%,25%,25%,
Net Profit,132,135,160,126,144,267,198,210
EPS in Rs,35.09,35.92,42.42,33.57,38.31,70.89,52.50,55.81
