,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,0,0,0,200,204,204,204,204,204,204,204,204
Reserves,481,515,547,580,568,672,761,833,878,933,917,"1,286","1,596"
Borrowings +,104,141,256,333,362,258,217,802,813,952,826,723,858
Other Liabilities +,117,126,160,242,241,424,466,690,744,812,832,929,"1,067"
Total Liabilities,702,783,963,"1,156","1,371","1,557","1,648","2,529","2,640","2,901","2,779","3,142","3,725"
Fixed Assets +,484,491,620,738,913,"1,054","1,082","1,848","1,838","2,092","1,961","1,980","2,078"
CWIP,46,87,44,20,20,14,53,35,56,12,20,67,121
Investments,0,0,7,51,52,87,96,9,17,86,120,132,163
Other Assets +,172,205,292,346,385,402,417,637,729,711,678,963,"1,364"
Total Assets,702,783,963,"1,156","1,371","1,557","1,648","2,529","2,640","2,901","2,779","3,142","3,725"
