,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,25,25,25,34
Reserves,24,33,44,69,133
Borrowings +,41,18,42,33,40
Other Liabilities +,15,143,83,130,73
Total Liabilities,104,219,194,257,280
Fixed Assets +,2,2,2,6,6
CWIP,0,0,0,0,0
Investments,6,7,3,3,3
Other Assets +,95,210,189,248,271
Total Assets,104,219,194,257,280
