,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,12
Reserves,65,53,19,-25,-6,-16
Borrowings +,80,80,108,90,68,150
Other Liabilities +,52,71,61,83,100,109
Total Liabilities,208,205,200,160,174,255
Fixed Assets +,111,76,72,17,9,97
CWIP,-0,0,-0,0,0,-0
Investments,-0,0,0,0,30,10
Other Assets +,97,129,129,142,134,149
Total Assets,208,205,200,160,174,255
