,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,12,13,31,33,33,33,33,33,33,35,35,35
Reserves,11,15,21,9,12,17,36,48,90,100,127,152,164
Borrowings +,14,47,47,54,51,50,62,91,131,143,159,207,248
Other Liabilities +,45,42,54,62,60,67,81,75,92,85,131,160,154
Total Liabilities,79,116,134,156,155,167,213,246,346,362,453,555,601
Fixed Assets +,13,20,27,34,53,51,64,70,116,117,125,182,197
CWIP,0,3,7,12,1,0,2,5,8,24,54,22,18
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,65,93,101,110,102,115,147,171,222,221,274,350,386
Total Assets,79,116,134,156,155,167,213,246,346,362,453,555,601
