,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,747","4,606","4,376","6,297","10,394","11,743"
Expenses +,"3,034","3,656","3,710","4,903","7,793","9,605"
Operating Profit,714,950,666,"1,394","2,601","2,138"
OPM %,19%,21%,15%,22%,25%,18%
Other Income +,68,73,12,24,59,75
Interest,49,64,86,62,23,34
Depreciation,215,195,297,300,272,356
Profit before tax,517,764,295,"1,055","2,364","1,824"
Tax %,-2%,17%,-15%,20%,27%,
Net Profit,528,637,340,844,"1,724","1,381"
EPS in Rs,90.83,25.86,14.56,36.10,67.61,54.15
