,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Sep 2015
Share Capital +,9,9,16,38,38,38,38,38
Reserves,35,44,83,190,212,245,289,314
Borrowings +,54,77,141,206,247,359,422,422
Other Liabilities +,60,77,91,141,177,258,403,349
Total Liabilities,158,207,331,575,674,900,"1,152","1,123"
Fixed Assets +,30,35,60,113,116,192,275,293
CWIP,17,10,19,35,69,97,25,0
Investments,0,0,0,0,0,0,0,0
Other Assets +,110,162,251,426,488,612,851,830
Total Assets,158,207,331,575,674,900,"1,152","1,123"
