,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,463,463,463,484,484
Reserves,"1,174",497,627,"1,428","1,491"
Borrowings +,"1,070","1,564","1,137",409,532
Other Liabilities +,636,802,819,887,712
Total Liabilities,"3,343","3,326","3,046","3,207","3,218"
Fixed Assets +,317,337,322,282,295
CWIP,"1,022","1,232","1,179",683,696
Investments,0,0,1,1,10
Other Assets +,"2,005","1,757","1,544","2,242","2,217"
Total Assets,"3,343","3,326","3,046","3,207","3,218"
