,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,0,0,0,0,15,17,17,17,17,18,18
Reserves,91,291,368,394,599,626,982,913,801,801,814,803
Borrowings +,54,117,92,242,204,400,177,248,264,238,182,168
Other Liabilities +,72,82,117,189,191,242,339,253,208,179,180,141
Total Liabilities,217,489,577,826,994,"1,283","1,516","1,432","1,291","1,236","1,193","1,130"
Fixed Assets +,27,170,186,274,331,497,514,535,588,598,569,558
CWIP,5,3,11,5,7,3,7,11,3,2,1,0
Investments,9,8,8,18,42,40,70,46,39,32,24,51
Other Assets +,176,309,372,529,615,743,925,840,661,604,599,521
Total Assets,217,489,577,826,994,"1,283","1,516","1,432","1,291","1,236","1,193","1,130"
