,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,59,60,60,61,61,61,61,62,62,62,61,61,61
Reserves,693,850,"1,034","1,263","1,296","1,511","1,625","1,712","2,010","2,334","2,406","2,672","2,767"
Borrowings +,12,52,10,9,9,10,25,22,14,35,83,490,755
Other Liabilities +,250,365,435,468,611,702,695,828,748,968,935,"1,655","1,766"
Total Liabilities,"1,014","1,326","1,539","1,801","1,977","2,285","2,407","2,624","2,834","3,400","3,484","4,878","5,350"
Fixed Assets +,189,423,438,453,558,903,848,879,819,"1,079","1,021","2,067","2,104"
CWIP,137,0,28,129,120,17,-0,1,1,0,0,17,9
Investments,44,55,82,55,55,75,316,365,365,14,12,-0,-0
Other Assets +,643,848,991,"1,164","1,243","1,291","1,244","1,379","1,649","2,307","2,451","2,794","3,237"
Total Assets,"1,014","1,326","1,539","1,801","1,977","2,285","2,407","2,624","2,834","3,400","3,484","4,878","5,350"
