,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,25,25
Reserves,54,38,56
Borrowings +,31,25,24
Other Liabilities +,52,108,106
Total Liabilities,162,196,210
Fixed Assets +,108,110,114
CWIP,1,15,25
Investments,0,0,0
Other Assets +,54,71,71
Total Assets,162,196,210
