,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,111,277,486,334
Expenses +,68,214,414,293
Operating Profit,43,63,72,41
OPM %,39%,23%,15%,12%
Other Income +,2,2,4,3
Interest,19,17,20,17
Depreciation,8,8,8,8
Profit before tax,18,41,49,18
Tax %,36%,50%,25%,8%
Net Profit,12,20,36,17
EPS in Rs,0.58,1.01,1.82,0.85
