,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,390,582,960,"1,277","1,356"
Expenses +,382,570,948,"1,266","1,353"
Operating Profit,8,11,12,11,3
OPM %,2%,2%,1%,1%,0%
Other Income +,0,2,5,8,21
Interest,3,8,8,11,11
Depreciation,1,3,3,4,3
Profit before tax,3,3,6,4,9
Tax %,28%,20%,20%,20%,
Net Profit,2,2,5,4,7
EPS in Rs,1.34,0.26,0.46,0.33,0.57
