,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12
Reserves,18,8,12,15,16
Borrowings +,43,37,31,49,55
Other Liabilities +,23,34,47,38,39
Total Liabilities,96,91,101,114,122
Fixed Assets +,15,14,29,31,31
CWIP,0,1,0,0,0
Investments,0,0,0,0,0
Other Assets +,81,76,72,82,90
Total Assets,96,91,101,114,122
