,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,21,26
Reserves,98,114,126
Borrowings +,65,82,92
Other Liabilities +,94,83,71
Total Liabilities,275,300,315
Fixed Assets +,0,6,6
CWIP,0,0,0
Investments,5,5,5
Other Assets +,270,289,304
Total Assets,275,300,315
