,Mar 2009,Mar 2010,Mar 2016
Share Capital +,13.53,16.33,17.14
Reserves,10.24,11.50,18.91
Borrowings +,42.12,40.72,60.82
Other Liabilities +,16.17,17.77,14.77
Total Liabilities,82.06,86.32,111.64
Fixed Assets +,31.59,29.92,38.09
CWIP,14.56,21.35,9.75
Investments,0.00,0.00,0.01
Other Assets +,35.91,35.05,63.79
Total Assets,82.06,86.32,111.64
