,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,117,140,123,172,211,190,152,140
Expenses +,104,128,111,156,191,177,148,128
Operating Profit,13,12,12,17,20,13,4,11
OPM %,11%,9%,10%,10%,9%,7%,3%,8%
Other Income +,1,1,1,1,1,1,1,1
Interest,3,3,3,1,2,2,2,1
Depreciation,7,5,4,3,4,4,2,3
Profit before tax,4,5,6,14,15,8,1,9
Tax %,36%,33%,32%,39%,28%,32%,8%,27%
Net Profit,3,3,4,8,11,5,1,6
EPS in Rs,4.66,5.47,7.24,6.65,8.32,4.15,0.78,4.98
