,Mar 2012,Mar 2013,Mar 2014
Share Capital +,14,14,32
Reserves,336,295,376
Borrowings +,299,550,495
Other Liabilities +,70,186,361
Total Liabilities,718,"1,045","1,263"
Fixed Assets +,214,208,188
CWIP,144,164,179
Investments,0,0,210
Other Assets +,360,672,686
Total Assets,718,"1,045","1,263"
