,Mar 2021,Mar 2022,TTM
Sales +,"1,004","1,490","1,849"
Expenses +,979,"1,394","1,723"
Operating Profit,25,97,126
OPM %,2%,6%,7%
Other Income +,26,-3,11
Interest,104,95,97
Depreciation,229,234,255
Profit before tax,-282,-235,-214
Tax %,-0%,-0%,
Net Profit,-282,-235,-214
EPS in Rs,-6.42,-3.98,-3.92
