,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Sep 2016
Share Capital +,14,14,16,16,16,16,16,16,16,16,16,32
Reserves,175,301,534,686,761,861,913,"1,015","1,161","1,222","1,435","1,645"
Borrowings +,325,561,630,724,774,868,850,854,974,933,943,772
Other Liabilities +,82,285,286,226,239,335,471,407,476,638,586,637
Total Liabilities,596,"1,161","1,466","1,652","1,790","2,081","2,249","2,291","2,628","2,809","2,981","3,086"
Fixed Assets +,175,538,685,778,843,"1,012","1,033","1,373","1,505","1,441","1,545","1,645"
CWIP,37,65,148,223,357,307,418,97,79,142,85,127
Investments,7,14,1,1,1,1,26,25,25,25,25,25
Other Assets +,376,544,631,650,588,761,771,796,"1,019","1,201","1,325","1,288"
Total Assets,596,"1,161","1,466","1,652","1,790","2,081","2,249","2,291","2,628","2,809","2,981","3,086"
