,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,92,92,89,86,86,86,183,102,102,153,153,153,150
Reserves,"3,634","4,081","4,557","5,162","5,775","2,006","7,214","9,067","14,613","19,129","20,734","24,508","24,808"
Borrowings +,"2,679","3,389","4,203","3,349","3,281","5,258","6,361","6,638","29,139","29,388","24,519","26,746","33,438"
Other Liabilities +,"1,800","2,713","3,487","4,162","5,143","9,519","6,536","7,148","18,581","19,758","23,359","29,196","31,520"
Total Liabilities,"8,205","10,275","12,336","12,759","14,284","16,869","20,212","22,955","62,435","68,428","68,765","80,603","89,916"
Fixed Assets +,"2,321","3,223","3,489","3,821","4,031","3,862","4,071","4,437","32,149","35,321","34,765","36,193","39,436"
CWIP,57,306,378,228,583,484,792,"1,319","1,855","2,073","2,117","2,501","1,543"
Investments,823,795,"1,025",737,764,335,378,"1,034",708,558,618,"1,922","1,615"
Other Assets +,"5,004","5,952","7,444","7,973","8,906","12,188","14,971","16,165","27,723","30,476","31,265","39,987","47,322"
Total Assets,"8,205","10,275","12,336","12,759","14,284","16,869","20,212","22,955","62,435","68,428","68,765","80,603","89,916"
