,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,11,11,11,12,12
Reserves,56,67,95,130,163,190,246,255
Borrowings +,142,180,255,272,312,317,393,322
Other Liabilities +,71,103,88,92,82,82,118,181
Total Liabilities,279,360,449,505,568,599,769,770
Fixed Assets +,55,81,124,169,173,202,239,236
CWIP,7,8,17,4,29,30,29,53
Investments,0,0,0,0,0,0,0,0
Other Assets +,218,271,307,332,365,367,501,481
Total Assets,279,360,449,505,568,599,769,770
