,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,23,23,23,23,25,25,25,25,25,25,27,27
Reserves,659,664,659,655,638,417,410,391,405,431,444,504,533
Borrowings +,130,117,110,102,136,112,93,58,64,54,54,43,44
Other Liabilities +,63,57,74,47,39,84,258,145,139,113,118,119,134
Total Liabilities,875,861,866,826,836,638,786,620,633,623,641,693,738
Fixed Assets +,310,370,381,349,308,287,310,293,278,273,255,250,246
CWIP,49,40,47,38,38,38,0,0,0,0,0,0,0
Investments,43,13,5,5,5,8,7,7,8,8,8,9,8
Other Assets +,474,438,433,435,486,305,468,319,347,342,378,434,483
Total Assets,875,861,866,826,836,638,786,620,633,623,641,693,738
