,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,15,15,47,47
Reserves,73,207,296,475,"1,292","1,314"
Borrowings +,83,310,413,333,593,907
Other Liabilities +,183,244,401,480,714,618
Total Liabilities,353,776,"1,124","1,302","2,646","2,886"
Fixed Assets +,34,140,227,231,483,748
CWIP,0,0,2,2,24,11
Investments,10,138,4,1,0,41
Other Assets +,308,497,892,"1,067","2,138","2,087"
Total Assets,353,776,"1,124","1,302","2,646","2,886"
