,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,23,27,30,48,49,49,49,50,50,50,50
Reserves,102,101,60,1,32,885,928,599,657,637,678,634,688
Borrowings +,189,269,311,418,473,312,416,305,325,343,277,365,427
Other Liabilities +,126,156,192,177,372,278,503,380,346,424,381,387,328
Total Liabilities,439,547,586,623,908,"1,523","1,896","1,332","1,378","1,454","1,386","1,436","1,493"
Fixed Assets +,211,230,227,238,474,586,684,476,498,577,536,555,610
CWIP,20,64,89,43,39,24,33,18,23,13,31,12,45
Investments,0,0,2,0,59,428,428,239,180,171,83,38,0
Other Assets +,208,253,268,342,336,485,751,599,677,693,737,831,839
Total Assets,439,547,586,623,908,"1,523","1,896","1,332","1,378","1,454","1,386","1,436","1,493"
