,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,32,32,34,33,34,34,34,34,34,34,34,34,34
Reserves,"1,899","2,335","3,072","2,701","3,194","3,049","3,167","3,301","4,313","5,755","7,520","7,093","7,312"
Borrowings +,"1,756","2,865","2,829","4,167","5,885","7,200","7,554","6,918","7,116","7,275","10,071","14,565","16,093"
Other Liabilities +,"1,722","3,127","3,490","4,307","4,392","3,850","4,237","6,500","6,530","7,143","11,157","12,149","13,355"
Total Liabilities,"5,408","8,359","9,424","11,208","13,504","14,133","14,991","16,753","17,993","20,207","28,781","33,841","36,794"
Fixed Assets +,"1,126","1,193","1,170","1,650","1,837","2,828","3,281","3,302","3,824","4,049","4,520","4,950","5,056"
CWIP,30,214,628,466,775,274,54,271,202,334,444,483,581
Investments,789,"1,153","1,362","2,336","2,691","3,052","3,203","4,137","5,473","6,594","9,952","9,609","9,102"
Other Assets +,"3,463","5,799","6,264","6,757","8,202","7,979","8,452","9,042","8,494","9,229","13,866","18,798","22,054"
Total Assets,"5,408","8,359","9,424","11,208","13,504","14,133","14,991","16,753","17,993","20,207","28,781","33,841","36,794"
