,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31,31,31,31,31,31,31,31,63,63,63,63,63
Reserves,787,852,913,674,752,933,"1,008","1,219","1,325","1,470","1,635","1,761","1,770"
Borrowings +,811,935,962,"1,024",962,709,798,734,632,737,642,767,862
Other Liabilities +,263,283,265,362,365,334,412,452,492,526,654,673,711
Total Liabilities,"1,891","2,102","2,172","2,093","2,110","2,008","2,250","2,437","2,513","2,796","2,994","3,265","3,407"
Fixed Assets +,993,"1,123","1,132",898,887,924,"1,179","1,184","1,307","1,364","1,531","1,473","1,565"
CWIP,28,39,48,36,89,57,19,42,41,35,27,147,110
Investments,50,45,46,45,46,30,15,13,17,16,15,7,18
Other Assets +,820,895,945,"1,114","1,088",996,"1,036","1,198","1,147","1,381","1,421","1,638","1,715"
Total Assets,"1,891","2,102","2,172","2,093","2,110","2,008","2,250","2,437","2,513","2,796","2,994","3,265","3,407"
