,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,645","3,898","3,944","3,423","2,617","4,131","4,698"
Expenses +,"6,721","3,092","2,992","2,873","2,411","3,687","4,156"
Operating Profit,924,805,951,550,205,444,542
OPM %,12%,21%,24%,16%,8%,11%,12%
Other Income +,62,138,"5,673",32,62,51,26
Interest,551,212,102,87,71,52,54
Depreciation,313,199,193,229,231,231,231
Profit before tax,122,532,"6,330",267,-35,212,283
Tax %,14%,30%,4%,-35%,4%,24%,
Net Profit,105,372,"6,063",360,-34,162,212
EPS in Rs,9.40,33.27,542.81,32.70,-2.73,14.91,19.71
