,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.64,5.04,5.04,5.04,5.04
Reserves,31.12,30.81,35.74,35.86,40.66,42.63,40.79,47.26,54.21,57.61,58.06,60.44
Borrowings +,13.64,15.09,12.51,8.62,7.22,7.19,9.93,14.07,15.16,11.97,11.76,11.58
Other Liabilities +,21.91,22.72,20.95,26.35,17.18,27.80,28.11,27.93,28.05,32.20,35.30,39.19
Total Liabilities,70.82,72.77,73.35,74.98,69.21,81.77,82.98,93.90,102.46,106.82,110.16,116.25
Fixed Assets +,11.75,12.70,13.84,11.90,12.66,17.60,18.34,25.85,26.33,23.75,22.65,11.47
CWIP,2.68,2.29,0.57,0.57,0.57,0.57,0.24,0.00,0.00,1.23,3.41,3.95
Investments,11.99,12.37,15.06,16.25,10.33,3.48,0.37,0.54,1.15,2.08,1.97,1.91
Other Assets +,44.40,45.41,43.88,46.26,45.65,60.12,64.03,67.51,74.98,79.76,82.13,98.92
Total Assets,70.82,72.77,73.35,74.98,69.21,81.77,82.98,93.90,102.46,106.82,110.16,116.25
