,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,35,35,35,35,35,35,35,35,35,35,35,35,35
Reserves,319,366,351,361,380,414,469,527,576,603,629,674,712
Borrowings +,129,192,255,333,268,334,445,515,863,968,775,868,891
Other Liabilities +,86,162,239,357,492,478,466,458,406,365,457,441,306
Total Liabilities,570,755,880,"1,086","1,176","1,261","1,416","1,536","1,880","1,972","1,897","2,018","1,945"
Fixed Assets +,183,240,123,119,74,72,70,69,71,76,66,66,68
CWIP,0,2,0,0,0,0,0,0,0,0,0,0,0
Investments,0,1,3,9,39,39,22,24,86,67,50,25,65
Other Assets +,386,512,754,958,"1,063","1,150","1,325","1,443","1,722","1,829","1,781","1,928","1,811"
Total Assets,570,755,880,"1,086","1,176","1,261","1,416","1,536","1,880","1,972","1,897","2,018","1,945"
